continent;country;domain;size_bytes;height_px;width_px
Europa;Polen;flashscore.pl;282398;3460;1920
Asien;Indien;uidai.gov.in;27992;1080;1920
Europa;Deutschland;n-tv.de;530454;1080;1920
Europa;UK;google.co.uk;172234;1080;1920
Europa;Deutschland;fr.de;3597112;20088;1920
Ozeanien;Tuvalu;xnxx.tv;1068308;1080;1920
Ozeanien;Australien;abc.net.au;4295614;7754;1938
Europa;Niederlande;nu.nl;28175;1080;1920
Asien;Japan;kakuyomu.jp;4298940;11403;1920
Asien;Japan;weathernews.jp;382894;2635;1920
Europa;Italien;diretta.it;1160410;10405;1920
Europa;Polen;onet.pl;625299;12137;1905
Asien;Japan;tenki.jp;367140;1080;1920
Europa;Polen;interia.pl;4603204;21860;1920
Europa;Italien;ilmeteo.it;2168935;4613;1920
Afrika;Uganda;betpawa.ug;234306;1080;1920
Asien;Japan;jra.go.jp;28050;1080;1920
Ozeanien;Mikronesien;last.fm;1056165;2715;1920
Ozeanien;Neuseeland;mega.nz;1134240;9186;1920
Afrika;Tansania;betpawa.co.tz;212059;1080;1920
Europa;Italien;corriere.it;7452785;38534;1928
Ozeanien;Tonga;hianime.to;930251;2289;1920
Europa;Frankreich;lemonde.fr;1527737;29673;1920
Europa;Deutschland;web.de;468846;1080;1920
Europa;Polen;tvn24.pl;3942221;48061;1920
Südamerika;Brasilien;ndmais.com.br;2015858;10710;1920
Asien;Indien;brainly.in;8588;1080;1920
Europa;UK;metro.co.uk;4281410;17190;1920
Asien;Japan;fantia.jp;982239;3732;1920
Asien;Israel;ynet.co.il;7111192;10929;1920
Europa;Deutschland;welt.de;454900;1080;1920
Europa;Frankreich;leroymerlin.fr;8699;1080;1920
Europa;Deutschland;zalando.de;753737;2626;1920
Europa;Belgien;google.be;170733;1080;1920
Nordamerika;Kanada;ctvnews.ca;5677854;11280;1920
Europa;Belgien;vrt.be;3039073;7519;1920
Europa;UK;mirror.co.uk;2406768;8788;1920
Europa;Spanien;sport.es;3212477;29933;1920
Südamerika;Brasilien;cnnbrasil.com.br;1109166;6551;1920
Asien;Japan;ecnavi.jp;3105012;7026;1920
Südamerika;Brasilien;uol.com.br;2856472;16895;1920
Europa;Deutschland;tagesschau.de;3177307;19866;1920
Europa;Deutschland;focus.de;3684463;28561;1920
Asien;Japan;daily.co.jp;1306022;3440;1920
Europa;Italien;repubblica.it;3699423;34566;1920
Asien;Indien;screener.in;154680;1205;1920
Europa;Frankreich;amazon.fr;71763;1080;1920
Ozeanien;Neuseeland;nzherald.co.nz;2023954;14363;1920
Europa;Deutschland;zeit.de;2243871;44585;1920
Europa;Schweden;toyhou.se;99446;1080;1920
Ozeanien;Australien;amazon.com.au;958116;1353;1920
Europa;Polen;wp.pl;8588;1080;1920
Europa;Spanien;elmundo.es;2730907;7113;1920
Europa;UK;express.co.uk;3700017;16944;1920
Südamerika;Argentinien;promiedos.com.ar;598413;1080;1920
Asien;Indien;lotterysambadresult.in;2301060;4974;1920
Europa;Frankreich;vinted.fr;1121785;1442;1920
Asien;Indien;kolkataff.in;1303234;8423;1920
Europa;Spanien;rtve.es;12133236;12805;1920
Europa;Frankreich;leboncoin.fr;8588;1080;1920
Asien;Indien;nregastrep.nic.in;23220;1080;1920
Asien;Philippinen;playtime.ph;28205;1080;1920
Europa;Italien;ilmessaggero.it;3595028;28310;1920
Europa;UK;rightmove.co.uk;1164944;1968;1920
Europa;Deutschland;kleinanzeigen.de;978392;2645;1920
Europa;Italien;annunci69.it;2953745;5563;1920
Asien;Japan;game8.jp;8733193;37984;1920
Europa;UK;standard.co.uk;2055589;11833;1920
Südamerika;Venezuela;patria.org.ve;28119;1080;1920
Europa;Spanien;eltiempo.es;246459;4244;1920
Asien;Thailand;google.co.th;172029;1080;1920
Südamerika;Kolumbien;huggingface.co;2246154;6431;1920
Europa;Deutschland;sueddeutsche.de;2277598;33576;1920
Asien;Japan;oricon.co.jp;3354106;11148;1920
Ozeanien;Tuvalu;pluto.tv;80585;1080;1920
Südamerika;Kolumbien;ibb.co;27939;1080;1920
Europa;Österreich;shorturl.at;190978;1587;1920
Südamerika;Venezuela;flashscore.com.ve;593786;5157;1920
Nordamerika;Kanada;globalnews.ca;2454937;10287;1920
Ozeanien;Neuseeland;google.co.nz;170879;1080;1920
Europa;Polen;filmweb.pl;362049;1080;1920
Asien;Singapur;google.com.sg;172135;1080;1920
Ozeanien;Australien;smh.com.au;25443;1080;1920
Südamerika;Brasilien;santander.com.br;1491671;6268;1920
Europa;Frankreich;lindependant.fr;4332311;23472;1920
Europa;Italien;lastampa.it;5514149;23351;1920
Europa;Spanien;aemet.es;1064166;2658;1920
Europa;Deutschland;ardmediathek.de;3378783;10821;1920
Europa;UK;tripadvisor.co.uk;12993;1080;1920
Ozeanien;Australien;realestate.com.au;27830;1080;1920
Asien;China;tsinghua.edu.cn;29008;1080;1920
Europa;Frankreich;orange.fr;1017853;5847;1920
Europa;Frankreich;radiofrance.fr;3049801;12252;1920
Europa;Deutschland;joyclub.de;1090147;3927;1920
Europa;Deutschland;bahn.de;834161;3761;1920
Südamerika;Brasilien;estadao.com.br;2196911;17498;1920
Ozeanien;Neuseeland;stuff.co.nz;7331778;15758;1920
Europa;Niederlande;amazon.nl;27989;1080;1920
Ozeanien;Tuvalu;xxxbp.tv;12045783;7114;4000
Europa;Deutschland;br.de;5248980;6821;1920
Europa;Frankreich;liberation.fr;469313;1080;1920
Europa;Spanien;abc.es;2645601;30251;1920
Asien;VAE;amazon.ae;1042230;2112;1920
Asien;Philippinen;lazada.com.ph;1740345;5052;1920
Asien;Japan;gamewith.jp;3258518;12768;1920
Europa;Schweden;svt.se;2681389;13022;1920
Europa;Österreich;orf.at;737291;1951;1920
Europa;Frankreich;midilibre.fr;3787303;19204;1920
Asien;Philippinen;shopee.ph;213487;1688;4000
Europa;Deutschland;chip.de;2521686;17245;1920
Afrika;Senegal;google.sn;171939;1080;1920
Europa;Deutschland;immobilienscout24.de;1297892;3658;1920
Afrika;Ägypten;amazon.eg;1191202;2102;1920
Ozeanien;Tonga;xxxbfvideos.to;55509;1080;1920
Asien;Thailand;lazada.co.th;1784690;5513;1920
Europa;Frankreich;francebleu.fr;2192137;10650;1920
Nordamerika;Mexiko;eluniversal.com.mx;3622259;21118;1920
Europa;Italien;ansa.it;3888144;25509;1920
Europa;Spanien;europapress.es;1198803;4163;1920
Asien;Singapur;shopee.sg;8588;1080;1920
Europa;UK;manchestereveningnews.co.uk;5548613;30506;1920
Ozeanien;Australien;nsw.gov.au;1717951;4245;1920
Ozeanien;Australien;ebay.com.au;2988022;5037;1920
Europa;Frankreich;lesechos.fr;1359834;9326;1920
Asien;Indien;mca.gov.in;1489907;7937;1920
Südamerika;Brasilien;casasbahia.com.br;659166;1080;1920
Ozeanien;Tonga;wto.to;27704;1080;1920
Europa;Österreich;derstandard.at;358262;1230;1920
Ozeanien;Tuvalu;fubo.tv;9020;1080;1920
Europa;Österreich;krone.at;5674259;19827;1920
Asien;Thailand;shopee.co.th;315583;1752;4000
Ozeanien;Tonga;dev.to;2053585;12327;1920
Asien;Japan;jma.go.jp;28059;1080;1920
Europa;Schweden;expressen.se;5586196;49630;1920
Europa;Deutschland;thomann.de;1011353;5317;1920
Europa;Frankreich;ebay.fr;2232272;2761;1920
Nordamerika;USA;aliexpress.us;1102573;2638;1920
Asien;Japan;prtimes.jp;1821242;4376;1920
Europa;Deutschland;stern.de;4330775;29053;1920
Europa;Deutschland;idealo.de;2306812;4907;1920
Europa;Spanien;larazon.es;4402793;30715;1920
Asien;Indien;freebitco.in;678227;2888;1920
Europa;UK;autotrader.co.uk;111202;1080;1920
Europa;Spanien;eldiario.es;3364497;17326;1920
Europa;Frankreich;doctolib.fr;679086;3654;1920
Europa;Frankreich;20minutes.fr;3079122;16958;1920
Europa;Polen;o2.pl;2563534;11388;1920
Europa;Spanien;juntadeandalucia.es;1484037;5452;1920
Europa;Italien;rainews.it;1381167;5627;1920
Europa;Frankreich;tf1.fr;857427;12646;1920
Europa;Italien;poste.it;1438622;4752;1920
Europa;Deutschland;tagesspiegel.de;86756;1080;1920
Asien;Singapur;nus.edu.sg;421681;1080;1920
Ozeanien;Australien;telstra.com.au;1167051;4726;1920
Europa;UK;ticketmaster.co.uk;4498405;4074;1920
Ozeanien;Tonga;mto.to;28664;1080;1920
Europa;Italien;justpaste.it;74820;1386;4000
Ozeanien;Tonga;lookmovie2.to;1882555;3031;1920
Europa;Deutschland;wetteronline.de;1596985;3874;1920
Asien;Malaysia;thestar.com.my;3624227;6895;1920
Ozeanien;Australien;bom.gov.au;1137474;1996;1920
Nordamerika;Kanada;canadiantire.ca;1885030;8988;1920
Nordamerika;Kanada;kijiji.ca;1918794;3728;1920
Nordamerika;Mexiko;sat.gob.mx;28291;1080;1920
Europa;Spanien;eleconomista.es;2567157;15222;1920
Südamerika;Brasilien;mercadopago.com.br;4965693;7866;2191
Europa;Schweden;dn.se;3120729;18935;1920
Nordamerika;Kanada;lapresse.ca;5793795;31778;1920
Europa;Italien;ilgiornale.it;7081270;13116;1920
Südamerika;Peru;elcomercio.pe;3116154;18822;1920
Asien;Indien;groww.in;1118452;5643;1920
Südamerika;Kolumbien;mercadolibre.com.co;1832376;14926;1920
Nordamerika;Kanada;walmart.ca;31661;1120;1920
